Name;Position;Team;Geburtsdatum;Bild
Marvin Keller;Torwart;BSC Young Boys;2002-07-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219910_118832532.png
Joël Mall;Torwart;BSC Young Boys;1991-04-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219898_118832520.png
Dario Marzino;Torwart;BSC Young Boys;1996-09-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219875_118832497.png
Ryan Andrews;Verteidiger;BSC Young Boys;2004-08-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219997_118832619.png
Gregory Wüthrich;Verteidiger;BSC Young Boys;1994-12-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219892_118832514.png
Cédric Zesiger;Verteidiger;BSC Young Boys;1998-06-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219869_118832491.png
Saidy Janko;Verteidiger;BSC Young Boys;1995-10-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219999_118832621.png
Isaac Schmidt;Verteidiger;BSC Young Boys;1999-12-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219894_118832516.png
Loris Benito;Verteidiger;BSC Young Boys;1992-01-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219908_118832530.png
Benjamin Kabeya;Verteidiger;BSC Young Boys;2001-06-16;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219867_118832489.png
Lewin Blum;Verteidiger;BSC Young Boys;2001-07-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219906_118832528.png
Stefan Bukinac;Verteidiger;BSC Young Boys;2005-07-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119220006_118832628.png
Silas Ubaka;Verteidiger;BSC Young Boys;2008-12-29;
Rhodri Smith;Verteidiger;BSC Young Boys;2006-09-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219995_118832617.png
Edimilson Fernandes;Mittelfeldspieler;BSC Young Boys;1996-04-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219878_118832501.png
Armin Gigovic;Mittelfeldspieler;BSC Young Boys;2002-04-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219862_118832484.png
Alvyn Sanches;Mittelfeldspieler;BSC Young Boys;2003-02-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219859_118832482.png
Dominik Pech;Mittelfeldspieler;BSC Young Boys;2006-09-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219877_118832499.png
Christian Fassnacht;Mittelfeldspieler;BSC Young Boys;1993-11-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219871_118832493.png
Sandro Lauper;Mittelfeldspieler;BSC Young Boys;1996-10-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119220004_118832626.png
Edin Etoski;Mittelfeldspieler;BSC Young Boys;2007-04-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219881_118832502.png
Noë Tschanz;Mittelfeldspieler;BSC Young Boys;2006-07-21;
Tristan Jost;Mittelfeldspieler;BSC Young Boys;2006-12-19;
Loris Macumi;Mittelfeldspieler;BSC Young Boys;2007-01-04;
Alan Virginius;Stürmer;BSC Young Boys;2003-01-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219861_118832483.png
Kaly Sène;Stürmer;BSC Young Boys;2001-05-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219902_118832524.png
Herba Guirassy;Stürmer;BSC Young Boys;2006-08-29;
Facinet Conte;Stürmer;BSC Young Boys;2005-03-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119219889_118832511.png
Samuel Essende;Stürmer;BSC Young Boys;1998-01-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5830480/media_119220002_118832624.png
Jonas Omlin;Torwart;FC Basel 1893;1994-01-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950784_115560484.png
Mirko Salvi;Torwart;FC Basel 1893;1994-02-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950780_115560480.png
Bennett Hoch;Torwart;FC Basel 1893;2007-11-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951076_115560776.png
Renato Widmer D’Autilia;Torwart;FC Basel 1893;2008-04-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951083_115560784.png
Nicolas Vouilloz;Verteidiger;FC Basel 1893;2001-05-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950903_115560603.png
Becir Omeragic;Verteidiger;FC Basel 1893;2002-01-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950924_115560624.png
Keigo Tsunemoto;Verteidiger;FC Basel 1893;1998-10-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950848_115560548.png
Flavius Daniliuc;Verteidiger;FC Basel 1893;2001-04-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950878_115560578.png
Coleen Louis;Verteidiger;FC Basel 1893;2005-06-30;
Kevin Rüegg;Verteidiger;FC Basel 1893;1998-08-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950839_115560539.png
Moussa Cissé;Verteidiger;FC Basel 1893;2003-04-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950946_115560646.png
Noah Kakor;Verteidiger;FC Basel 1893;2010-07-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951094_115560794.png
Victory Akpe;Verteidiger;FC Basel 1893;2006-07-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951023_115560723.png
Abemly Silu Metinho;Mittelfeldspieler;FC Basel 1893;2003-04-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950914_115560614.png
Ludwig Malachowski;Mittelfeldspieler;FC Basel 1893;2005-02-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433566/media_115966359_115576067.png
Xherdan Shaqiri;Mittelfeldspieler;FC Basel 1893;1991-10-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950782_115560481.png
Andrej Bacanin;Mittelfeldspieler;FC Basel 1893;2007-03-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951053_115560753.png
Gabriel Sigua;Mittelfeldspieler;FC Basel 1893;2005-06-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950986_115560686.png
Jean Doucoure;Mittelfeldspieler;FC Basel 1893;2009-03-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951105_115560804.png
Jonas Harder;Mittelfeldspieler;FC Basel 1893;2005-09-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951004_115560704.png
Philip Otele;Stürmer;FC Basel 1893;1999-04-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950855_115560555.png
Zan Celar;Stürmer;FC Basel 1893;1999-03-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950798_115560498.png
Kazeem Olaigbe;Stürmer;FC Basel 1893;2003-01-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950938_115560638.png
Aaron Malouda;Stürmer;FC Basel 1893;2005-11-30;
Asane Sow;Stürmer;FC Basel 1893;2006-05-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951041_115560741.png
Giacomo Koloto;Stürmer;FC Basel 1893;2008-01-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115951059_115560758.png
Kaio Eduardo do Nascimento Pereira Santos;Stürmer;FC Basel 1893;2005-04-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950962_115560662.png
Thomas Castella;Torwart;FC Lausanne-Sport;1993-06-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636428_116246419.png
Emilien Grosso;Torwart;FC Lausanne-Sport;2006-12-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636382_116246373.png
Melvin Mastil;Torwart;FC Lausanne-Sport;2000-02-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636404_116246395.png
Brandon Soppy;Verteidiger;FC Lausanne-Sport;2002-02-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636368_116246359.png
Tyler Fredricson;Verteidiger;FC Lausanne-Sport;2005-02-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636432_116246423.png
Etienne Youte;Verteidiger;FC Lausanne-Sport;2002-01-14;
Dircssi Ngonzo;Verteidiger;FC Lausanne-Sport;2005-07-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636379_116246369.png
Theo Bergvall;Verteidiger;FC Lausanne-Sport;2004-09-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636426_116246417.png
Morgan Poaty;Verteidiger;FC Lausanne-Sport;1997-07-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636406_116246397.png
Hamza Abdallah;Verteidiger;FC Lausanne-Sport;2003-06-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636389_116246380.png
Thomas Cordier;Verteidiger;FC Lausanne-Sport;2006-03-13;
Nicolas Cozza;Verteidiger;FC Lausanne-Sport;1999-01-08;
Karim Sow;Verteidiger;FC Lausanne-Sport;2003-05-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636395_116246386.png
Olivier Custodio;Mittelfeldspieler;FC Lausanne-Sport;1995-02-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636413_116246404.png
Nicky Beloko;Mittelfeldspieler;FC Lausanne-Sport;2000-02-16;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636411_116246401.png
Beyatt Lekoueiry;Mittelfeldspieler;FC Lausanne-Sport;2005-04-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636365_116246355.png
Souleymane NDiaye;Mittelfeldspieler;FC Lausanne-Sport;2005-11-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636423_116246414.png
Eren Özcan;Mittelfeldspieler;FC Lausanne-Sport;2008-08-13;
Sekou Koné;Mittelfeldspieler;FC Lausanne-Sport;2006-02-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636418_116246409.png
Koba Koindredi;Mittelfeldspieler;FC Lausanne-Sport;2001-10-27;https://scoreplay-mam-media.s3.amazonaws.com/322/1864797/media_52731398_52316362.png
Florent Mollet;Mittelfeldspieler;FC Lausanne-Sport;1991-11-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636386_116246378.png
Alban Ajdini;Stürmer;FC Lausanne-Sport;1999-07-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5503958/media_116636364_116246357.png
